TimeStamp,Z,Y,X
1.74665E+18,9.634937286,1.814961314,-0.210480303
1.74665E+18,9.623708725,1.857123852,-0.3251158
1.74665E+18,9.614495277,1.886633039,-0.415314734
1.74665E+18,9.612517357,1.888539791,-0.450907737
1.74665E+18,9.615796089,1.876615047,-0.430311233
1.74665E+18,9.621943474,1.855847001,-0.380037278
1.74665E+18,9.628936768,1.831236601,-0.317069381
1.74665E+18,9.634917259,1.809539318,-0.253612339
1.74665E+18,9.639687538,1.791144133,-0.196531788
1.74665E+18,9.642474174,1.780005097,-0.15702635
1.74665E+18,9.643576622,1.775746822,-0.136205912
1.74665E+18,9.643661499,1.775749326,-0.130018085
1.74665E+18,9.642889023,1.779399037,-0.137205929
1.74665E+18,9.642140388,1.782456517,-0.149562418
1.74665E+18,9.642103195,1.781636834,-0.161307752
1.74665E+18,9.64272213,1.777496457,-0.169736519
1.74665E+18,9.643948555,1.770563006,-0.172438592
1.74665E+18,9.645445824,1.76267004,-0.16958265
1.74665E+18,9.646818161,1.755613923,-0.16466257
1.74665E+18,9.648051262,1.749398589,-0.158432171
1.74665E+18,9.6492033,1.743736386,-0.150484726
1.74665E+18,9.650055885,1.739369512,-0.146307811
1.74665E+18,9.650243759,1.738177419,-0.148042291
1.74665E+18,9.650261879,1.73802042,-0.14870806
1.74665E+18,9.649957657,1.739617348,-0.149808377
1.74665E+18,9.649683952,1.741313338,-0.147664577
1.74665E+18,9.649549484,1.742522836,-0.142185748
1.74665E+18,9.64966774,1.742221475,-0.137733892
1.74665E+18,9.650027275,1.740575194,-0.133311555
1.74665E+18,9.650634766,1.737680554,-0.126894549
1.74665E+18,9.651042938,1.735850573,-0.120776415
1.74665E+18,9.651197433,1.735501647,-0.113188431
1.74665E+18,9.650856972,1.737999082,-0.103433862
1.74665E+18,9.650214195,1.742229223,-0.091510475
1.74665E+18,9.64954567,1.746559024,-0.07865946
1.74665E+18,9.648983002,1.750355124,-0.061318155
1.74665E+18,9.648610115,1.753017783,-0.040522855
1.74665E+18,9.648603439,1.753448367,-0.016424179
1.74665E+18,9.648780823,1.752531648,0.007035318
1.74665E+18,9.648784637,1.752279401,0.029265091
1.74665E+18,9.64905262,1.750241399,0.053254355
1.74665E+18,9.649438858,1.747066736,0.080567673
1.74665E+18,9.649250031,1.746402144,0.111497596
1.74665E+18,9.648748398,1.746452451,0.148090348
1.74665E+18,9.647702217,1.7479527,0.1920515
1.74665E+18,9.645841599,1.75190258,0.242819548
1.74665E+18,9.643000603,1.758679032,0.29995811
1.74665E+18,9.639126778,1.7673105,0.366371453
1.74665E+18,9.634289742,1.776775956,0.440338731
1.74665E+18,9.628439903,1.787142873,0.519275248
1.74665E+18,9.621260643,1.800331831,0.600465834
1.74665E+18,9.612534523,1.817866445,0.681864262
1.74665E+18,9.60231781,1.839502931,0.762962222
1.74665E+18,9.590927124,1.863935351,0.842753589
1.74665E+18,9.578404427,1.891989827,0.919206798
1.74665E+18,9.565095901,1.921907783,0.992765427
1.74665E+18,9.551342964,1.953752875,1.060698628
1.74665E+18,9.53791523,1.984916449,1.121900678
1.74665E+18,9.52610302,2.011357307,1.173965573
1.74665E+18,9.517133713,2.031990528,1.210607886
1.74665E+18,9.5116539,2.042999268,1.234903455
1.74665E+18,9.509419441,2.043889046,1.250541329
1.74665E+18,9.510538101,2.033935308,1.258242011
1.74665E+18,9.512482643,2.020994186,1.264375687
1.74665E+18,9.513832092,2.010770321,1.270513058
1.74665E+18,9.516407013,1.999860525,1.26843524
1.74665E+18,9.521173477,1.986553788,1.253498673
1.74665E+18,9.527024269,1.975845456,1.225656509
1.74665E+18,9.531744003,1.974305153,1.190949321
1.74665E+18,9.534811974,1.982574701,1.152012348
1.74665E+18,9.537478447,1.992616177,1.111917853
1.74665E+18,9.541286469,1.99691081,1.070788741
1.74665E+18,9.546619415,1.992604375,1.030520439
1.74665E+18,9.553562164,1.978708267,0.992250443
1.74665E+18,9.561531067,1.960860848,0.95001775
1.74665E+18,9.569607735,1.944250703,0.901598394
1.74665E+18,9.576982498,1.931184292,0.849894404
1.74665E+18,9.582659721,1.924593449,0.799346268
1.74665E+18,9.586605072,1.923011422,0.754597783
1.74665E+18,9.590010643,1.921811461,0.713253319
1.74665E+18,9.593156815,1.920678139,0.672842741
1.74665E+18,9.595573425,1.922234416,0.632753789
1.74665E+18,9.596914291,1.927958727,0.59379977
1.74665E+18,9.597097397,1.937704682,0.558037817
1.74665E+18,9.596405029,1.94991231,0.526550591
1.74665E+18,9.595538139,1.961280346,0.499422967
1.74665E+18,9.595098495,1.970030189,0.472709924
1.74665E+18,9.595158577,1.976492167,0.443606824
1.74665E+18,9.595480919,1.982225657,0.409771711
1.74665E+18,9.595302582,1.990627885,0.371431589
1.74665E+18,9.594003677,2.003787279,0.332135499
1.74665E+18,9.591400146,2.021564007,0.29782483
1.74665E+18,9.587583542,2.043466091,0.26993233
1.74665E+18,9.583169937,2.067036629,0.246139243
1.74665E+18,9.579210281,2.08771801,0.224855289
1.74665E+18,9.576593399,2.101904154,0.203069508
1.74665E+18,9.575051308,2.111076593,0.179264337
1.74665E+18,9.574129105,2.117091179,0.156058922
1.74665E+18,9.573330879,2.12212944,0.135241583
1.74665E+18,9.572200775,2.128252745,0.117923379
1.74665E+18,9.570219994,2.137852907,0.104218632
1.74665E+18,9.566829681,2.153395653,0.095112681
1.74665E+18,9.561434746,2.177397013,0.091043256
1.74665E+18,9.553702354,2.211048126,0.091781422
1.74665E+18,9.543697357,2.25369668,0.095324486
1.74665E+18,9.530716896,2.307625532,0.103385158
1.74665E+18,9.51337719,2.377346516,0.119471051
1.74665E+18,9.491830826,2.460807323,0.141305298
1.74665E+18,9.468834877,2.546505451,0.163873836
1.74665E+18,9.448433876,2.620254278,0.178191721
1.74665E+18,9.433779716,2.672594309,0.177281812
1.74665E+18,9.428049088,2.693753242,0.161140636
1.74665E+18,9.432927132,2.678124428,0.133906424
1.74665E+18,9.44597435,2.632987738,0.106437504
1.74665E+18,9.461885452,2.575771093,0.09221971
1.74665E+18,9.475257874,2.525617838,0.105584458
1.74665E+18,9.482707024,2.494839668,0.156326547
1.74665E+18,9.490637779,2.45916152,0.225205034
1.74665E+18,9.509170532,2.38095808,0.277652711
1.74665E+18,9.54244709,2.240984917,0.300140887
1.74665E+18,9.58798027,2.038258791,0.294130236
1.74665E+18,9.639103889,1.784538031,0.271100551
1.74665E+18,9.688352585,1.499560952,0.239814043
1.74665E+18,9.729212761,1.2113024,0.213459089
1.74665E+18,9.758160591,0.951191843,0.209592104
1.74665E+18,9.774608612,0.752878308,0.246149406
1.74665E+18,9.78239727,0.613426507,0.314329237
1.74665E+18,9.78608799,0.508232594,0.380228788
1.74665E+18,9.788578987,0.423152238,0.418377459
1.74665E+18,9.791419983,0.347151339,0.421845853
1.74665E+18,9.794875145,0.266751409,0.39956376
1.74665E+18,9.798240662,0.167482078,0.369912058
1.74665E+18,9.800496101,0.047073197,0.3441571
1.74665E+18,9.800790787,-0.081839368,0.328909993
1.74665E+18,9.799441338,-0.196863115,0.320270777
1.74665E+18,9.797834396,-0.275322914,0.311484873
1.74665E+18,9.797185898,-0.311704755,0.297254056
1.74665E+18,9.797793388,-0.314232022,0.273646295
1.74665E+18,9.799226761,-0.292479306,0.244952068
1.74665E+18,9.800857544,-0.255585074,0.219629765
1.74665E+18,9.802326202,-0.211205438,0.200409725
1.74665E+18,9.803506851,-0.164190799,0.186264262
1.74665E+18,9.80434227,-0.11728102,0.177456111
1.74665E+18,9.804872513,-0.07063891,0.172843859
1.74665E+18,9.80516243,-0.02308239,0.169201314
1.74665E+18,9.805238724,0.025163816,0.164494485
