TimeStamp,Z,Y,X
1.74664E+18,9.709152222,1.023527622,0.924735963
1.74664E+18,9.717185974,1.000360608,0.863701224
1.74664E+18,9.725628853,0.961285591,0.811454594
1.74664E+18,9.730014801,0.928497553,0.796915174
1.74664E+18,9.733323097,0.893991768,0.795986056
1.74664E+18,9.73388958,0.883724451,0.800514698
1.74664E+18,9.732549667,0.877708614,0.823101878
1.74664E+18,9.729259491,0.881892443,0.856839597
1.74664E+18,9.723913193,0.899432123,0.898288369
1.74664E+18,9.717635155,0.917371869,0.946783304
1.74664E+18,9.709763527,0.937918544,1.005583644
1.74664E+18,9.700405121,0.962838709,1.070267677
1.74664E+18,9.689771652,0.992060065,1.13778019
1.74664E+18,9.677090645,1.027522445,1.211815119
1.74664E+18,9.662636757,1.066367984,1.291009545
1.74664E+18,9.647140503,1.106638432,1.370549798
1.74664E+18,9.629796028,1.147472978,1.456266046
1.74664E+18,9.611553192,1.182135582,1.546285629
1.74664E+18,9.592525482,1.211595654,1.638865113
1.74664E+18,9.573002815,1.236770868,1.731589675
1.74664E+18,9.552979469,1.258954644,1.823734641
1.74664E+18,9.532659531,1.277641654,1.91479063
1.74664E+18,9.511350632,1.291967988,2.008835316
1.74664E+18,9.488232613,1.30526185,2.107157469
1.74664E+18,9.464259148,1.317623377,2.205005884
1.74664E+18,9.43945694,1.329174638,2.302242994
1.74664E+18,9.416790962,1.339474082,2.387522459
1.74664E+18,9.399892807,1.341261148,2.452228785
1.74664E+18,9.385799408,1.337071538,2.507869005
1.74664E+18,9.375548363,1.322184682,2.553683281
1.74664E+18,9.369211197,1.285125494,2.595520496
1.74664E+18,9.365452766,1.223617792,2.638456345
1.74664E+18,9.36400795,1.139236212,2.681023121
1.74664E+18,9.362673759,1.034315348,2.727805853
1.74664E+18,9.359212875,0.907247841,2.784320831
1.74664E+18,9.357692719,0.757704854,2.833699226
1.74664E+18,9.35646534,0.586143136,2.878084421
1.74664E+18,9.353523254,0.391865522,2.920350313
1.74664E+18,9.353949547,0.171857879,2.940152407
1.74664E+18,9.358089447,-0.068913043,2.931180477
1.74664E+18,9.358902931,-0.320507765,2.911800623
1.74664E+18,9.354632378,-0.578367293,2.885603666
1.74664E+18,9.345499039,-0.842918515,2.84982729
1.74664E+18,9.330565453,-1.115127802,2.804891825
1.74664E+18,9.311817169,-1.402445436,2.737443447
1.74664E+18,9.285272598,-1.717871666,2.646321297
1.74664E+18,9.247556686,-2.054058552,2.536518335
1.74664E+18,9.197678566,-2.402630091,2.408414125
1.74664E+18,9.1323843,-2.756802797,2.273759842
1.74664E+18,9.055339813,-3.094935417,2.143032551
1.74664E+18,8.970797539,-3.415257931,2.007782936
1.74664E+18,8.882453918,-3.71487236,1.863365412
1.74664E+18,8.793895721,-3.989927769,1.708291531
1.74664E+18,8.707270622,-4.238247395,1.546319723
1.74664E+18,8.621846199,-4.46323061,1.383371592
1.74664E+18,8.535056114,-4.669166088,1.233725905
1.74664E+18,8.447476387,-4.855895996,1.109418631
1.74664E+18,8.355214119,-5.034489632,1.007329941
1.74664E+18,8.26232338,-5.200721264,0.92569083
1.74664E+18,8.179112434,-5.342505932,0.854486048
1.74664E+18,8.116244316,-5.450016499,0.770898938
1.74664E+18,8.077335358,-5.521028996,0.66729486
1.74664E+18,8.058257103,-5.562178612,0.545021951
1.74664E+18,8.054219246,-5.579021454,0.417685449
1.74664E+18,8.057645798,-5.581284523,0.306600988
1.74664E+18,8.067706108,-5.570596695,0.225772083
1.74664E+18,8.086539268,-5.544728279,0.185072646
1.74664E+18,8.110966682,-5.509120941,0.179411158
1.74664E+18,8.135652542,-5.472175121,0.191964462
1.74664E+18,8.160874367,-5.434127808,0.201927975
1.74664E+18,8.190703392,-5.389290333,0.195776358
1.74664E+18,8.22360611,-5.339609146,0.176828369
1.74664E+18,8.268087387,-5.271700859,0.13523373
1.74664E+18,8.329334259,-5.175523758,0.080907471
1.74664E+18,8.409070015,-5.045424938,0.040347464
1.74664E+18,8.504366875,-4.883157253,0.030098839
1.74664E+18,8.606005669,-4.701605797,0.044384316
1.74664E+18,8.705377579,-4.514668941,0.067402534
1.74664E+18,8.800437927,-4.326150894,0.084180385
1.74664E+18,8.890774727,-4.137205124,0.089657389
1.74664E+18,8.976992607,-3.946738243,0.085132405
1.74664E+18,9.058763504,-3.755607367,0.067908555
1.74664E+18,9.137042999,-3.561380386,0.037385333
1.74664E+18,9.214457512,-3.356213331,0.002289357
1.74664E+18,9.292154312,-3.134576082,-0.026389014
1.74664E+18,9.368850708,-2.897136688,-0.040383559
1.74664E+18,9.441585541,-2.650548697,-0.037927847
1.74664E+18,9.507080078,-2.405214548,-0.027410608
1.74664E+18,9.563023567,-2.1722579,-0.016128939
1.74664E+18,9.60933876,-1.95725131,-0.012460982
1.74664E+18,9.647312164,-1.760538697,-0.015845582
1.74664E+18,9.67844677,-1.580323696,-0.025182087
1.74664E+18,9.70500946,-1.407664776,-0.040628266
1.74664E+18,9.728914261,-1.230986953,-0.057255972
1.74664E+18,9.750090599,-1.049235702,-0.072259001
1.74664E+18,9.76804924,-0.864797235,-0.087813661
1.74664E+18,9.782465935,-0.680664957,-0.102222428
1.74664E+18,9.793176651,-0.501004398,-0.114363633
1.74664E+18,9.800498009,-0.324141085,-0.124746747
1.74664E+18,9.804725647,-0.14488925,-0.129479557
1.74664E+18,9.805768967,0.039219376,-0.125523955
1.74664E+18,9.803415298,0.225394428,-0.112362638
1.74664E+18,9.797551155,0.412548482,-0.090514816
1.74664E+18,9.788273811,0.597035527,-0.060263086
1.74664E+18,9.776260376,0.771040201,-0.024588807
1.74664E+18,9.762750626,0.926831007,0.009198498
1.74664E+18,9.749060631,1.060711503,0.033451844
1.74664E+18,9.735882759,1.175105214,0.045771651
1.74664E+18,9.723296165,1.274924636,0.049634274
1.74664E+18,9.71128273,1.363512993,0.047049686
1.74664E+18,9.699339867,1.44611907,0.043946914
1.74664E+18,9.686319351,1.530779362,0.048204929
1.74664E+18,9.670984268,1.624208331,0.066340774
1.74664E+18,9.652702332,1.728247523,0.094261155
1.74664E+18,9.632515907,1.83577764,0.122220419
1.74664E+18,9.611449242,1.941523433,0.144634038
1.74664E+18,9.591076851,2.038752556,0.158481389
1.74664E+18,9.57324791,2.120528698,0.163266644
1.74664E+18,9.559691429,2.181143045,0.159048185
1.74664E+18,9.551486969,2.217567682,0.147917047
1.74664E+18,9.548183441,2.23257494,0.134908244
1.74664E+18,9.548493385,2.231948853,0.122755721
1.74664E+18,9.550816536,2.22242856,0.114511058
1.74664E+18,9.553756714,2.209859133,0.112461835
1.74664E+18,9.557060242,2.195307493,0.116696693
1.74664E+18,9.561214447,2.176771164,0.123467617
1.74664E+18,9.567304611,2.149765968,0.124851219
1.74664E+18,9.575688362,2.112569094,0.116772488
1.74664E+18,9.58607769,2.065626144,0.103290498
1.74664E+18,9.597735405,2.011490583,0.088135757
1.74664E+18,9.609520912,1.954886317,0.076849371
1.74664E+18,9.620676041,1.899399996,0.072510563
1.74664E+18,9.63100338,1.846159339,0.076522969
1.74664E+18,9.640679359,1.79445219,0.087388463
1.74664E+18,9.650265694,1.741358638,0.102045059
1.74664E+18,9.66006279,1.685276031,0.115858249
1.74664E+18,9.670009613,1.626596332,0.124502406
1.74664E+18,9.680060387,1.565629244,0.125029355
1.74664E+18,9.690108299,1.502606153,0.119861171
1.74664E+18,9.699707031,1.440003753,0.111673005
1.74664E+18,9.708480835,1.38022244,0.103831917
1.74664E+18,9.716267586,1.324730158,0.098108336
1.74664E+18,9.722932816,1.275064349,0.095770746
1.74664E+18,9.728590965,1.230987906,0.097901471
1.74664E+18,9.733674049,1.18962431,0.103742681
1.74664E+18,9.738656998,1.147423387,0.111188486
1.74664E+18,9.743715286,1.102838635,0.118983477
1.74664E+18,9.74893856,1.055086851,0.124023788
1.74664E+18,9.754076958,1.006318569,0.12530759
1.74664E+18,9.758828163,0.959385872,0.123488866
1.74664E+18,9.763041496,0.915942669,0.12018656
1.74664E+18,9.766578674,0.877884448,0.116820253
1.74664E+18,9.769599915,0.843768418,0.115559377
1.74664E+18,9.772213936,0.812799156,0.116553672
1.74664E+18,9.774601936,0.783359647,0.11778973
1.74664E+18,9.776974678,0.753344357,0.116772734
1.74664E+18,9.77935791,0.722246289,0.113589548
1.74664E+18,9.781622887,0.691511691,0.109772295
1.74664E+18,9.783535004,0.664470255,0.106370017
1.74664E+18,9.784955025,0.643823743,0.102668166
1.74664E+18,9.785913467,0.629919887,0.097464286
1.74664E+18,9.786554337,0.620919883,0.090533063
1.74664E+18,9.787036896,0.614426017,0.082264088
1.74664E+18,9.787359238,0.610444307,0.073080346
1.74664E+18,9.787618637,0.607347727,0.063629471
1.74664E+18,9.787852287,0.604443967,0.054537218
1.74664E+18,9.788030624,0.602205992,0.046905417
1.74664E+18,9.788118362,0.601306975,0.039488729
1.74664E+18,9.788071632,0.60253942,0.03130402
1.74664E+18,9.787949562,0.60501653,0.019860756
1.74664E+18,9.787788391,0.607912183,0.004468727
1.74664E+18,9.787566185,0.611360073,-0.013439638
1.74664E+18,9.787255287,0.615594387,-0.032488644
1.74664E+18,9.786842346,0.620771766,-0.052432399
1.74664E+18,9.786253929,0.628056824,-0.071827807
1.74664E+18,9.785511971,0.637481868,-0.088194728
1.74664E+18,9.784589767,0.649458349,-0.102039151
1.74664E+18,9.783565521,0.662700891,-0.114215583
1.74664E+18,9.782464027,0.676824808,-0.125315577
1.74664E+18,9.78134346,0.690801501,-0.136020765
1.74664E+18,9.780296326,0.703476906,-0.146015659
1.74664E+18,9.779369354,0.714185596,-0.155797675
1.74664E+18,9.778586388,0.722689927,-0.165389225
1.74664E+18,9.777926445,0.729251862,-0.175310507
1.74664E+18,9.777360916,0.734692514,-0.183927953
1.74664E+18,9.776906013,0.739176393,-0.19003503
1.74664E+18,9.776592255,0.74227649,-0.194077119
1.74664E+18,9.776412964,0.743654549,-0.197805673
1.74664E+18,9.776385307,0.743098795,-0.201247483
1.74664E+18,9.776429176,0.741482019,-0.204990923
1.74664E+18,9.776474953,0.739534259,-0.209781557
1.74664E+18,9.776479721,0.737828612,-0.215459093
1.74664E+18,9.77640152,0.737389743,-0.220518634
1.74664E+18,9.776206017,0.739004135,-0.223756522
1.74664E+18,9.775984764,0.741373122,-0.225594789
1.74664E+18,9.77583313,0.743054211,-0.226585761
1.74664E+18,9.775834084,0.742847502,-0.227260947
1.74664E+18,9.775990486,0.740469992,-0.228261888
1.74664E+18,9.776278496,0.736608684,-0.228413627
1.74664E+18,9.77661705,0.732492387,-0.227172419
1.74664E+18,9.776928902,0.728892028,-0.225305617
1.74664E+18,9.777168274,0.72586441,-0.224696919
1.74664E+18,9.777359009,0.72281903,-0.226220638
1.74664E+18,9.777544022,0.719061017,-0.230138421
1.74664E+18,9.777877808,0.713555455,-0.233082622
1.74664E+18,9.778217316,0.708024621,-0.235673338
1.74664E+18,9.778543472,0.7027933,-0.237832591
1.74664E+18,9.778826714,0.697951436,-0.240394354
1.74664E+18,9.779039383,0.694031715,-0.243080527
1.74664E+18,9.779212952,0.691321015,-0.243877143
1.74664E+18,9.779348373,0.69003737,-0.242046386
1.74664E+18,9.779501915,0.689577758,-0.237087712
1.74664E+18,9.779652596,0.689269662,-0.231696248
1.74664E+18,9.779782295,0.688684225,-0.227982804
1.74664E+18,9.77991581,0.6875121,-0.225748137
1.74664E+18,9.780002594,0.686538398,-0.224956766
1.74664E+18,9.780045509,0.685992837,-0.22473897
1.74664E+18,9.780067444,0.685946584,-0.223956063
1.74664E+18,9.780112267,0.685213089,-0.224222228
1.74664E+18,9.780197144,0.68343699,-0.225938529
1.74664E+18,9.780368805,0.680399179,-0.227664366
1.74664E+18,9.780590057,0.676876962,-0.228654221
1.74664E+18,9.780737877,0.674644232,-0.228934079
1.74664E+18,9.780818939,0.673295498,-0.229474336
1.74664E+18,9.780857086,0.672436357,-0.230337381
1.74664E+18,9.780858994,0.672097206,-0.231195763
1.74664E+18,9.780854225,0.671454549,-0.233301073
1.74664E+18,9.780893326,0.670238853,-0.235132053
1.74664E+18,9.780956268,0.669141829,-0.235616773
1.74664E+18,9.781027794,0.668002367,-0.235901549
1.74664E+18,9.781046867,0.667649209,-0.236111015
1.74664E+18,9.780892372,0.669497371,-0.237260431
1.74664E+18,9.780590057,0.673051775,-0.239681721
1.74664E+18,9.780218124,0.67721945,-0.243121684
1.74664E+18,9.779876709,0.680973589,-0.246312454
1.74664E+18,9.779643059,0.683551013,-0.248462379
1.74664E+18,9.779555321,0.684344471,-0.249716729
1.74664E+18,9.779559135,0.684125304,-0.250156015
1.74664E+18,9.779612541,0.683464706,-0.249874204
1.74664E+18,9.779672623,0.68250823,-0.250151604
1.74664E+18,9.77973938,0.68141371,-0.250510961
1.74664E+18,9.779809952,0.680545688,-0.250154674
1.74664E+18,9.780017853,0.678206205,-0.24832958
1.74664E+18,9.780315399,0.674902499,-0.245600149
1.74664E+18,9.780611992,0.671351671,-0.243525118
1.74664E+18,9.780888557,0.667421401,-0.243261471
1.74664E+18,9.781079292,0.664003253,-0.244876519
1.74664E+18,9.781220436,0.661230147,-0.246758565
1.74664E+18,9.78126812,0.660460591,-0.246925533
1.74664E+18,9.781189919,0.661352396,-0.247641891
1.74664E+18,9.781047821,0.663054407,-0.248692229
1.74664E+18,9.780910492,0.664708912,-0.24967511
1.74664E+18,9.780865669,0.665485561,-0.249380454
1.74664E+18,9.780841827,0.666058719,-0.248780534
1.74664E+18,9.780779839,0.66733849,-0.247757226
1.74664E+18,9.780723572,0.668091476,-0.247978583
1.74664E+18,9.780725479,0.667398512,-0.249794111
1.74664E+18,9.780679703,0.666962981,-0.252689779
1.74664E+18,9.780647278,0.666495681,-0.255174875
1.74664E+18,9.780611992,0.666356742,-0.256891578
1.74664E+18,9.780507088,0.667223513,-0.258615732
1.74664E+18,9.780303001,0.669193566,-0.261222214
1.74664E+18,9.780010223,0.671600819,-0.265984863
1.74664E+18,9.779646873,0.674484849,-0.271987498
1.74664E+18,9.779284477,0.677744269,-0.276825219
1.74664E+18,9.779014587,0.680500507,-0.279609203
1.74664E+18,9.778950691,0.681044161,-0.28052485
1.74664E+18,9.77917099,0.678083599,-0.280000448
1.74664E+18,9.779593468,0.672976792,-0.277561784
1.74664E+18,9.780065536,0.667554736,-0.27399981
1.74664E+18,9.780524254,0.662578881,-0.26966098
1.74664E+18,9.780913353,0.658391297,-0.265835345
1.74664E+18,9.781150818,0.65605247,-0.262812585
1.74664E+18,9.78128624,0.654410601,-0.261854798
1.74664E+18,9.781246185,0.654874623,-0.262224227
1.74664E+18,9.78109169,0.657205343,-0.262144446
1.74664E+18,9.780883789,0.660825729,-0.260781258
1.74664E+18,9.780652046,0.664830506,-0.259325236
1.74664E+18,9.780486107,0.668044806,-0.257292569
1.74664E+18,9.780439377,0.669880867,-0.254296899
1.74664E+18,9.780415535,0.671114445,-0.251905918
1.74664E+18,9.780277252,0.673432946,-0.251129508
1.74664E+18,9.779976845,0.677676976,-0.251419872
1.74664E+18,9.779616356,0.682119608,-0.253369927
1.74664E+18,9.779114723,0.688621521,-0.255174369
1.74664E+18,9.778369904,0.698305726,-0.257360905
1.74664E+18,9.777778625,0.705813706,-0.259346247
1.74664E+18,9.777478218,0.709708035,-0.260049671
1.74664E+18,9.777477264,0.710691035,-0.257384032
1.74664E+18,9.777729988,0.708165348,-0.254717618
1.74664E+18,9.778183937,0.703140438,-0.25118354
1.74664E+18,9.778629303,0.697276175,-0.250162303
1.74664E+18,9.77900219,0.691935837,-0.250469655
