TimeStamp,Z,Y,X
1.74665E+18,9.687245369,1.493370891,-0.312261105
1.74665E+18,9.684023857,1.509399056,-0.334356636
1.74665E+18,9.682012558,1.515261173,-0.364703
1.74665E+18,9.68070507,1.511437535,-0.412160277
1.74665E+18,9.680555344,1.504534245,-0.440030515
1.74665E+18,9.680541992,1.499565244,-0.456946194
1.74665E+18,9.680140495,1.496908903,-0.473838687
1.74665E+18,9.679531097,1.496855497,-0.48630926
1.74665E+18,9.678850174,1.49861753,-0.494338155
1.74665E+18,9.678834915,1.499535084,-0.491869837
1.74665E+18,9.678751945,1.501354933,-0.48793596
1.74665E+18,9.678080559,1.506169677,-0.486422837
1.74665E+18,9.67661953,1.514692307,-0.489021629
1.74665E+18,9.675242424,1.523509622,-0.488878518
1.74665E+18,9.673707962,1.533690214,-0.487398744
1.74665E+18,9.672112465,1.543388367,-0.488458425
1.74665E+18,9.670572281,1.552608371,-0.489720196
1.74665E+18,9.669404984,1.558504224,-0.494016379
1.74665E+18,9.668891907,1.560938835,-0.496377081
1.74665E+18,9.668857574,1.561387062,-0.495628148
1.74665E+18,9.669036865,1.560606718,-0.494592279
1.74665E+18,9.669276237,1.559866786,-0.492261052
1.74665E+18,9.669268608,1.560796976,-0.489414304
1.74665E+18,9.6685009,1.566639304,-0.48592189
1.74665E+18,9.666984558,1.577581644,-0.480660439
1.74665E+18,9.664349556,1.595047712,-0.475986362
1.74665E+18,9.660816193,1.617399335,-0.472275704
1.74665E+18,9.656661034,1.643387556,-0.467500031
1.74665E+18,9.652428627,1.668697,-0.465254694
1.74665E+18,9.648723602,1.689014077,-0.468766004
1.74665E+18,9.646062851,1.701866508,-0.476975769
1.74665E+18,9.642946243,1.714907765,-0.493019193
1.74665E+18,9.640394211,1.721786261,-0.518305957
1.74665E+18,9.638618469,1.722242117,-0.54890424
1.74665E+18,9.636867523,1.720042467,-0.585334897
1.74665E+18,9.634945869,1.716800094,-0.625143528
1.74665E+18,9.63259697,1.714675069,-0.665854692
1.74665E+18,9.629747391,1.71485877,-0.705414951
1.74665E+18,9.62638855,1.718892694,-0.740556896
1.74665E+18,9.622489929,1.726828933,-0.772100151
1.74665E+18,9.617903709,1.738693833,-0.802041769
1.74665E+18,9.612582207,1.752645373,-0.834786057
1.74665E+18,9.606614113,1.76692462,-0.872548103
1.74665E+18,9.600294113,1.779658437,-0.915179431
1.74665E+18,9.594007492,1.790719628,-0.958499014
1.74665E+18,9.587929726,1.798690915,-1.003348708
1.74665E+18,9.581384659,1.806752443,-1.050287843
1.74665E+18,9.573970795,1.817147255,-1.098842263
1.74665E+18,9.565700531,1.829434156,-1.149314642
1.74665E+18,9.556866646,1.842407465,-1.200921655
1.74665E+18,9.547350883,1.855914235,-1.254616618
1.74665E+18,9.537000656,1.869840264,-1.311371326
1.74665E+18,9.525787354,1.883909464,-1.371365905
1.74665E+18,9.513189316,1.89752996,-1.438406825
1.74665E+18,9.498716354,1.912409663,-1.51243782
1.74665E+18,9.482788086,1.929225445,-1.589089513
1.74665E+18,9.465014458,1.949195147,-1.668691874
1.74665E+18,9.444943428,1.97338295,-1.751911879
1.74665E+18,9.423326492,2.000607491,-1.835450053
1.74665E+18,9.40103054,2.029232264,-1.916564703
1.74665E+18,9.37887764,2.057023525,-1.9939183
1.74665E+18,9.35718441,2.083166599,-2.067344427
1.74665E+18,9.336218834,2.108897686,-2.134935617
1.74665E+18,9.315624237,2.136171579,-2.196883678
1.74665E+18,9.295096397,2.165212154,-2.254650116
1.74665E+18,9.273281097,2.199825525,-2.310285568
1.74665E+18,9.248106956,2.244381428,-2.367629051
1.74665E+18,9.218148232,2.299966812,-2.430286169
1.74665E+18,9.182208061,2.365787506,-2.502099276
1.74665E+18,9.139941216,2.440843344,-2.583436251
1.74665E+18,9.093383789,2.521694899,-2.66867137
1.74665E+18,9.044939995,2.604272604,-2.752672434
1.74665E+18,8.996162415,2.684137344,-2.83457756
1.74665E+18,8.949391365,2.75749135,-2.911188602
1.74665E+18,8.907026291,2.821035624,-2.979436874
1.74665E+18,8.869967461,2.878221035,-3.034781694
1.74665E+18,8.83955574,2.931287289,-3.072491407
1.74665E+18,8.817050934,2.980828285,-3.089442492
1.74665E+18,8.803724289,3.028195381,-3.081371069
1.74665E+18,8.798378944,3.074309111,-3.05082655
1.74665E+18,8.79811573,3.119669914,-3.00519681
1.74665E+18,8.800307274,3.165280104,-2.950592041
1.74665E+18,8.804580688,3.211391687,-2.887334347
1.74665E+18,8.810598373,3.259900808,-2.81367898
1.74665E+18,8.819353104,3.306386471,-2.730790377
1.74665E+18,8.831461906,3.345510244,-2.642583132
1.74665E+18,8.846785545,3.376629591,-2.550124884
1.74665E+18,8.864692688,3.40350771,-2.450256348
1.74665E+18,8.883666992,3.430548668,-2.341405153
1.74665E+18,8.903175354,3.45825386,-2.223589659
1.74665E+18,8.921422005,3.48913908,-2.098698616
1.74665E+18,8.936841011,3.523043394,-1.972672939
1.74665E+18,8.949234962,3.558652163,-1.848668933
1.74665E+18,8.960194588,3.593914032,-1.72309804
1.74665E+18,8.972296715,3.622986555,-1.594440222
1.74665E+18,8.987879753,3.639662504,-1.463308573
1.74665E+18,9.008876801,3.637742758,-1.333171606
1.74665E+18,9.035690308,3.617130995,-1.201272368
1.74665E+18,9.066470146,3.583179712,-1.063167095
1.74665E+18,9.099321365,3.539851189,-0.917714
1.74665E+18,9.130710602,3.493859768,-0.77035743
1.74665E+18,9.157306671,3.452462673,-0.628185451
1.74665E+18,9.17804718,3.419333935,-0.491928369
1.74665E+18,9.193508148,3.3941257,-0.360128313
1.74665E+18,9.205731392,3.372181654,-0.230832845
1.74665E+18,9.216858864,3.348006248,-0.103735179
1.74665E+18,9.228714943,3.316751242,0.019442616
1.74665E+18,9.243188858,3.273425102,0.136176452
1.74665E+18,9.260676384,3.217020988,0.247025549
1.74665E+18,9.280414581,3.149702787,0.351682395
1.74665E+18,9.301439285,3.074368715,0.449297637
1.74665E+18,9.32283783,2.99401474,0.539406955
1.74665E+18,9.344153404,2.910960913,0.619270742
1.74665E+18,9.365112305,2.827684402,0.685014427
1.74665E+18,9.384293556,2.749679327,0.738024533
1.74665E+18,9.400477409,2.681171894,0.782771468
1.74665E+18,9.412864685,2.62574625,0.820872247
1.74665E+18,9.421685219,2.584120512,0.851203144
1.74665E+18,9.427862167,2.554437399,0.8721506
1.74665E+18,9.432617188,2.533362389,0.88214606
1.74665E+18,9.437609673,2.515680075,0.879359603
1.74665E+18,9.444123268,2.496695757,0.863390505
1.74665E+18,9.452052116,2.475154877,0.838268042
1.74665E+18,9.460390091,2.45254302,0.810217917
1.74665E+18,9.468025208,2.432054758,0.78230238
1.74665E+18,9.47435379,2.41560626,0.756212294
1.74665E+18,9.479013443,2.404332638,0.733400881
1.74665E+18,9.481856346,2.399245501,0.713018954
1.74665E+18,9.482827187,2.40141201,0.692531705
1.74665E+18,9.482557297,2.409133673,0.669017434
1.74665E+18,9.480555534,2.424355507,0.641847193
1.74665E+18,9.478034019,2.44118166,0.614727497
1.74665E+18,9.475406647,2.458729744,0.584553063
1.74665E+18,9.472934723,2.474051237,0.559432685
1.74665E+18,9.470403671,2.495869875,0.502470076
1.74665E+18,9.470293999,2.501982927,0.473284096
1.74665E+18,9.470953941,2.504289865,0.44714576
1.74665E+18,9.472160339,2.503069401,0.428021789
1.74665E+18,9.473237991,2.500735044,0.417698205
1.74665E+18,9.473073006,2.501620293,0.416135252
1.74665E+18,9.470806122,2.508991718,0.423288494
1.74665E+18,9.465594292,2.526509047,0.435495794
1.74665E+18,9.456936836,2.556423664,0.448797643
1.74665E+18,9.443806648,2.602453709,0.460587204
1.74665E+18,9.426324844,2.66371417,0.468403488
1.74665E+18,9.406304359,2.733670235,0.467848897
1.74665E+18,9.386095047,2.80354023,0.460186988
1.74665E+18,9.3680439,2.865441561,0.446532011
1.74665E+18,9.353636742,2.915040016,0.427088797
1.74665E+18,9.343881607,2.94959116,0.402713031
1.74665E+18,9.338809013,2.969063759,0.376407683
1.74665E+18,9.337306023,2.976891994,0.351040512
1.74665E+18,9.33872509,2.975399256,0.324962556
1.74665E+18,9.342844009,2.96547246,0.296016335
1.74665E+18,9.34941864,2.947621107,0.265137613
1.74665E+18,9.357566833,2.924302816,0.234065905
1.74665E+18,9.366109848,2.899106741,0.203826949
1.74665E+18,9.374952316,2.872502327,0.171409696
1.74665E+18,9.384415627,2.843553305,0.131686866
1.74665E+18,9.395565033,2.808290958,0.085172087
1.74665E+18,9.409386635,2.762790203,0.028583148
1.74665E+18,9.426059723,2.705256224,-0.03706177
1.74665E+18,9.444951057,2.63661027,-0.107537709
1.74665E+18,9.465497017,2.558020353,-0.176840037
1.74665E+18,9.486847878,2.472213507,-0.241379291
1.74665E+18,9.507912636,2.383422852,-0.29880476
1.74665E+18,9.527540207,2.296435118,-0.350367993
1.74665E+18,9.544887543,2.21523428,-0.397784412
1.74665E+18,9.559744835,2.141137362,-0.444058895
1.74665E+18,9.57212925,2.074624062,-0.49057582
1.74665E+18,9.582500458,2.014962196,-0.534796
1.74665E+18,9.590787888,1.96370995,-0.575352371
1.74665E+18,9.597180367,1.922213078,-0.607966602
1.74665E+18,9.602186203,1.888940215,-0.632695079
1.74665E+18,9.606630325,1.860549092,-0.649156988
1.74665E+18,9.611002922,1.834363937,-0.658888519
1.74665E+18,9.615818024,1.807030439,-0.664129257
1.74665E+18,9.621590614,1.775055051,-0.66675216
1.74665E+18,9.628562927,1.736626267,-0.667310357
1.74665E+18,9.636612892,1.691969156,-0.665829062
1.74665E+18,9.645066261,1.643255711,-0.665429533
1.74665E+18,9.653238297,1.59440589,-0.665765405
1.74665E+18,9.660158157,1.551301241,-0.667212844
1.74665E+18,9.66531086,1.518880248,-0.667191088
1.74665E+18,9.668608665,1.499836683,-0.662480712
1.74665E+18,9.670257568,1.493355155,-0.652987182
1.74665E+18,9.670892715,1.494556546,-0.64071101
1.74665E+18,9.671225548,1.497694135,-0.628238797
1.74665E+18,9.671620369,1.499571562,-0.617614388
1.74665E+18,9.672472,1.49747622,-0.609287024
1.74665E+18,9.673732758,1.49184978,-0.603038311
1.74665E+18,9.675204277,1.48510468,-0.596050203
1.74665E+18,9.676830292,1.479210019,-0.584203243
1.74665E+18,9.678433418,1.47618866,-0.564970136
1.74665E+18,9.679773331,1.47673893,-0.540008187
1.74665E+18,9.680576324,1.480558157,-0.514568388
1.74665E+18,9.68089962,1.48662746,-0.490407497
1.74665E+18,9.680973053,1.49298656,-0.469210386
1.74665E+18,9.680907249,1.499115348,-0.45064342
1.74665E+18,9.680767059,1.504621267,-0.435022831
1.74665E+18,9.680603027,1.509054065,-0.423178732
1.74665E+18,9.680433273,1.512752652,-0.413737953
1.74665E+18,9.680178642,1.51712966,-0.403564125
1.74665E+18,9.67976284,1.522835016,-0.391861856
1.74665E+18,9.679153442,1.529901624,-0.379164398
1.74665E+18,9.678322792,1.538537741,-0.365180254
1.74665E+18,9.677340508,1.548551202,-0.348497719
1.74665E+18,9.676223755,1.559424639,-0.330568343
1.74665E+18,9.67497921,1.570722342,-0.313051462
1.74665E+18,9.673564911,1.582749963,-0.295684963
1.74665E+18,9.671791077,1.596626282,-0.278633267
1.74665E+18,9.669769287,1.611576319,-0.262251377
1.74665E+18,9.667715073,1.626274109,-0.246804535
1.74665E+18,9.665873528,1.639366865,-0.231812656
1.74665E+18,9.664452553,1.649900079,-0.215822726
1.74665E+18,9.663466454,1.657758832,-0.199108288
1.74665E+18,9.662794113,1.663603306,-0.182211041
1.74665E+18,9.662053108,1.669628143,-0.165714532
1.74665E+18,9.660874367,1.677850842,-0.150671184
1.74665E+18,9.659204483,1.688531399,-0.13785398
1.74665E+18,9.657109261,1.701288462,-0.127506971
1.74665E+18,9.654860497,1.714494705,-0.120693587
1.74665E+18,9.6528368,1.726073146,-0.117486082
1.74665E+18,9.651204109,1.735349655,-0.114943832
1.74665E+18,9.649991035,1.742282391,-0.111891545
1.74665E+18,9.649142265,1.747237921,-0.107784294
1.74665E+18,9.648723602,1.749982119,-0.100424267
1.74665E+18,9.648831367,1.7500422,-0.088177852
1.74665E+18,9.649354935,1.747898817,-0.072053522
1.74665E+18,9.649986267,1.745032549,-0.055028111
1.74665E+18,9.65046978,1.74274981,-0.040595777
1.74665E+18,9.650602341,1.74226141,-0.027983811
1.74665E+18,9.650315285,1.744007826,-0.015409467
1.74665E+18,9.649689674,1.747537494,-0.002192281
1.74665E+18,9.64892292,1.751719356,0.011816496
1.74665E+18,9.648145676,1.755851865,0.025716964
1.74665E+18,9.647305489,1.760232806,0.038215775
1.74665E+18,9.646352768,1.765217066,0.047774229
1.74665E+18,9.645305634,1.770768523,0.053478029
1.74665E+18,9.644274712,1.776257515,0.057162561
1.74665E+18,9.643549919,1.780092239,0.060116556
1.74665E+18,9.643496513,1.780276299,0.063138425
1.74665E+18,9.644400597,1.775219321,0.067180604
1.74665E+18,9.646089554,1.765733719,0.074271284
1.74665E+18,9.64818573,1.753767133,0.084769942
1.74665E+18,9.650415421,1.740842938,0.096529521
1.74665E+18,9.652417183,1.729137182,0.106310561
1.74665E+18,9.653798103,1.720933914,0.113745555
1.74665E+18,9.654583931,1.716222405,0.118270479
1.74665E+18,9.654902458,1.714318871,0.119852044
1.74665E+18,9.654932022,1.714192629,0.119296491
1.74665E+18,9.654937744,1.714254022,0.117856257
1.74665E+18,9.655179977,1.712965846,0.116768993
1.74665E+18,9.655737877,1.70979619,0.117060281
1.74665E+18,9.656642914,1.704615116,0.117982015
1.74665E+18,9.657784462,1.698124886,0.11815127
1.74665E+18,9.658946991,1.691625595,0.116359696
1.74665E+18,9.65984726,1.686648846,0.113855734
